Date,Open,High,Low,Close,Volume
1949-05-16,176.21,176.21,176.21,176.21
1949-05-17,174.8,174.8,174.8,174.8
1949-05-18,172.53,172.53,172.53,172.53
1949-05-19,171.34,171.34,171.34,171.34
1949-05-20,169.2,169.2,169.2,169.2
1949-05-21,169.92,169.92,169.92,169.92
1949-05-23,171.85,171.85,171.85,171.85
1949-05-24,172.75,172.75,172.75,172.75
1949-05-25,171.53,171.53,171.53,171.53
1949-05-26,170.43,170.43,170.43,170.43
1949-05-27,172.76,172.76,172.76,172.76
1949-05-28,176.3,176.3,176.3,176.3
1949-05-30,176.21,176.21,176.21,176.21
1949-05-31,176.52,176.52,176.52,176.52
1949-06-01,175.97,175.97,175.97,175.97
1949-06-02,174.76,174.76,174.76,174.76
1949-06-03,175.48,175.48,175.48,175.48
1949-06-04,175.98,175.98,175.98,175.98
1949-06-06,174.92,174.92,174.92,174.92
1949-06-07,173.83,173.83,173.83,173.83
1949-06-08,171.53,171.53,171.53,171.53
1949-06-09,170.15,170.15,170.15,170.15
1949-06-10,167.98,167.98,167.98,167.98
1949-06-11,167.86,167.86,167.86,167.86
1949-06-13,165.27,165.27,165.27,165.27
1949-06-14,158.98,158.98,158.98,158.98
1949-06-15,153.81,153.81,153.81,153.81
1949-06-16,157.8,157.8,157.8,157.8
1949-06-17,160.13,160.13,160.13,160.13
1949-06-18,160.42,160.42,160.42,160.42
1949-06-20,155.45,155.45,155.45,155.45
1949-06-21,152.99,152.99,152.99,152.99
1949-06-22,155.01,155.01,155.01,155.01
1949-06-23,155.76,155.76,155.76,155.76
1949-06-24,154.04,154.04,154.04,154.04
1949-06-25,153.35,153.35,153.35,153.35
1949-06-27,150.58,150.58,150.58,150.58
1949-06-28,147.13,147.13,147.13,147.13
1949-06-29,146.14,146.14,146.14,146.14
1949-06-30,146.92,146.92,146.92,146.92
1949-07-01,147.37,147.37,147.37,147.37
1949-07-02,150,150,150,150
1949-07-04,149.14,149.14,149.14,149.14
1949-07-05,146.52,146.52,146.52,146.52
1949-07-06,144.18,144.18,144.18,144.18
1949-07-07,143.66,143.66,143.66,143.66
1949-07-08,142.16,142.16,142.16,142.16
1949-07-09,140.03,140.03,140.03,140.03
1949-07-11,135.84,135.84,135.84,135.84
1949-07-12,134.8,134.8,134.8,134.8
1949-07-13,140.02,140.02,140.02,140.02
1949-07-14,141.28,141.28,141.28,141.28
1949-07-15,142.29,142.29,142.29,142.29
1949-07-16,144.89,144.89,144.89,144.89
1949-07-18,147.23,147.23,147.23,147.23
1949-07-19,148.55,148.55,148.55,148.55
1949-07-20,147.09,147.09,147.09,147.09
1949-07-21,145.97,145.97,145.97,145.97
1949-07-22,145.67,145.67,145.67,145.67
1949-07-23,146.5,146.5,146.5,146.5
1949-07-25,144.88,144.88,144.88,144.88
1949-07-26,144.66,144.66,144.66,144.66
1949-07-27,145.47,145.47,145.47,145.47
1949-07-28,145.51,145.51,145.51,145.51
1949-07-29,144.59,144.59,144.59,144.59
1949-07-30,144.86,144.86,144.86,144.86
1949-08-01,109.91,176.52,109.91,176.52
1949-08-02,150,150,150,150
1949-08-03,154.46,154.46,154.46,154.46
1949-08-04,155.57,155.57,155.57,155.57
1949-08-05,154.24,154.24,154.24,154.24
1949-08-06,156.26,156.26,156.26,156.26
1949-08-08,156.46,156.46,156.46,156.46
1949-08-09,157.68,157.68,157.68,157.68
1949-08-10,159.3,159.3,159.3,159.3
1949-08-11,162.75,162.75,162.75,162.75
1949-08-12,164.73,164.73,164.73,164.73
1949-08-13,162.49,162.49,162.49,162.49
1949-08-15,159,159,159,159
1949-08-16,159.14,159.14,159.14,159.14
1949-08-17,158.23,158.23,158.23,158.23
1949-08-18,158.17,158.17,158.17,158.17
1949-08-19,158.81,158.81,158.81,158.81
1949-08-20,160.04,160.04,160.04,160.04
1949-08-22,160.51,160.51,160.51,160.51
1949-08-23,162.02,162.02,162.02,162.02
1949-08-24,164.34,164.34,164.34,164.34
1949-08-25,167.64,167.64,167.64,167.64
1949-08-26,173.2,173.2,173.2,173.2
1949-08-27,176.27,176.27,176.27,176.27
1949-08-29,173.22,173.22,173.22,173.22
1949-08-30,174.1,174.1,174.1,174.1
1949-08-31,175.18,175.18,175.18,175.18
1949-09-01,176.89,176.89,176.89,176.89
1949-09-02,173,173,173,173
1949-09-03,171.57,171.57,171.57,171.57
1949-09-05,172.21,172.21,172.21,172.21
1949-09-06,172.41,172.41,172.41,172.41
1949-09-07,171.89,171.89,171.89,171.89
1949-09-08,170.11,170.11,170.11,170.11
1949-09-09,168.86,168.86,168.86,168.86
1949-09-10,170.7,170.7,170.7,170.7
1949-09-12,172.23,172.23,172.23,172.23
1949-09-13,171.25,171.25,171.25,171.25
1949-09-14,169.87,169.87,169.87,169.87
1949-09-15,168.3,168.3,168.3,168.3
1949-09-16,162.54,162.54,162.54,162.54
1949-09-17,164.95,164.95,164.95,164.95
1949-09-19,167.07,167.07,167.07,167.07
1949-09-20,163.94,163.94,163.94,163.94
1949-09-21,162.22,162.22,162.22,162.22
1949-09-22,163,163,163,163
1949-09-24,163.98,163.98,163.98,163.98
1949-09-26,162.49,162.49,162.49,162.49
1949-09-27,160.41,160.41,160.41,160.41
1949-09-28,160.61,160.61,160.61,160.61
1949-09-29,162.07,162.07,162.07,162.07
1949-09-30,163.29,163.29,163.29,163.29
1949-10-01,162.95,162.95,162.95,162.95
1949-10-03,160.72,160.72,160.72,160.72
1949-10-04,153.7,153.7,153.7,153.7
1949-10-05,153,153,153,153
1949-10-06,153.4,153.4,153.4,153.4
1949-10-07,156.84,156.84,156.84,156.84
1949-10-08,158.7,158.7,158.7,158.7
1949-10-10,154.16,154.16,154.16,154.16
1949-10-11,151.87,151.87,151.87,151.87
1949-10-12,150.42,150.42,150.42,150.42
1949-10-13,147.66,147.66,147.66,147.66
1949-10-14,146.97,146.97,146.97,146.97
1949-10-15,149.62,149.62,149.62,149.62
1949-10-17,144.44,144.44,144.44,144.44
1949-10-18,143.45,143.45,143.45,143.45
1949-10-19,142.45,142.45,142.45,142.45
1949-10-20,140.24,140.24,140.24,140.24
1949-10-21,138.06,138.06,138.06,138.06
1949-10-22,137.92,137.92,137.92,137.92
1949-10-24,135.94,135.94,135.94,135.94
1949-10-25,131.09,131.09,131.09,131.09
1949-10-26,133.79,133.79,133.79,133.79
1949-10-27,138.5,138.5,138.5,138.5
1949-10-28,143.31,143.31,143.31,143.31
1949-10-29,144.45,144.45,144.45,144.45
1949-10-31,141.54,141.54,141.54,141.54
1949-11-01,138.86,138.86,138.86,138.86
1949-11-02,137.78,137.78,137.78,137.78
1949-11-04,138.06,138.06,138.06,138.06
1949-11-05,137.03,137.03,137.03,137.03
1949-11-07,135.97,135.97,135.97,135.97
1949-11-08,133.41,133.41,133.41,133.41
1949-11-09,132.94,132.94,132.94,132.94
1949-11-10,136.57,136.57,136.57,136.57
1949-11-11,140.33,140.33,140.33,140.33
1949-11-12,140.67,140.67,140.67,140.67
1949-11-14,140.02,140.02,140.02,140.02
1949-11-15,138.37,138.37,138.37,138.37
1949-11-16,136.49,136.49,136.49,136.49
1949-11-17,135.32,135.32,135.32,135.32
1949-11-18,135.32,135.32,135.32,135.32
1949-11-19,134.55,134.55,134.55,134.55
1949-11-21,131.3,131.3,131.3,131.3
1949-11-22,130.38,130.38,130.38,130.38
1949-11-24,128.91,128.91,128.91,128.91
1949-11-25,126.41,126.41,126.41,126.41
1949-11-26,125.97,125.97,125.97,125.97
1949-11-28,122.01,122.01,122.01,122.01
1949-11-29,118.4,118.4,118.4,118.4
1949-11-30,122.84,122.84,122.84,122.84
1949-12-01,176.52,176.52,109.91,109.91
1949-12-02,122.53,122.53,122.53,122.53
1949-12-03,121,121,121,121
1949-12-05,120.92,120.92,120.92,120.92
1949-12-06,120.07,120.07,120.07,120.07
1949-12-07,117.39,117.39,117.39,117.39
1949-12-08,111.99,111.99,111.99,111.99
1949-12-09,112.14,112.14,112.14,112.14
1949-12-10,112.01,112.01,112.01,112.01
1949-12-12,110.32,110.32,110.32,110.32
1949-12-13,105.88,105.88,105.88,105.88
1949-12-14,98.5,98.5,98.5,98.5
1949-12-15,109.62,109.62,109.62,109.62
1949-12-16,110.96,110.96,110.96,110.96
1949-12-17,110.67,110.67,110.67,110.67
1949-12-19,108.46,108.46,108.46,108.46
1949-12-20,104.14,104.14,104.14,104.14
1949-12-21,107.69,107.69,107.69,107.69
1949-12-22,107.7,107.7,107.7,107.7
1949-12-23,107.11,107.11,107.11,107.11
1949-12-24,109.35,109.35,109.35,109.35
1949-12-26,110.24,110.24,110.24,110.24
1949-12-27,108.6,108.6,108.6,108.6
1949-12-28,109.91,109.91,109.91,109.91
1950-01-04,108.56,108.56,108.56,108.56
1950-01-05,105.54,105.54,105.54,105.54
1950-01-06,102.64,102.64,102.64,102.64
1950-01-07,102.95,102.95,102.95,102.95
1950-01-09,102.78,102.78,102.78,102.78
1950-01-10,101.36,101.36,101.36,101.36
1950-01-11,99.36,99.36,99.36,99.36
1950-01-12,97.48,97.48,97.48,97.48
1950-01-13,95.04,95.04,95.04,95.04
1950-01-14,96.89,96.89,96.89,96.89
1950-01-16,96.2,96.2,96.2,96.2
1950-01-17,95.27,95.27,95.27,95.27
1950-01-18,97.15,97.15,97.15,97.15
1950-01-19,98.9,98.9,98.9,98.9
1950-01-20,98.05,98.05,98.05,98.05
1950-01-21,98.25,98.25,98.25,98.25
1950-01-23,97.1,97.1,97.1,97.1
1950-01-24,97.12,97.12,97.12,97.12
1950-01-25,96.51,96.51,96.51,96.51
1950-01-26,95.45,95.45,95.45,95.45
1950-01-27,94.85,94.85,94.85,94.85
1950-01-28,94.82,94.82,94.82,94.82
1950-01-30,93.14,93.14,93.14,93.14
1950-01-31,92.54,92.54,92.54,92.54
1950-02-01,92.56,92.56,92.56,92.56
1950-02-02,95.96,95.96,95.96,95.96
1950-02-03,96.11,96.11,96.11,96.11
1950-02-04,97.45,97.45,97.45,97.45
1950-02-06,101.71,101.71,101.71,101.71
1950-02-07,105.06,105.06,105.06,105.06
1950-02-08,107.25,107.25,107.25,107.25
1950-02-09,107.01,107.01,107.01,107.01
1950-02-10,106.54,106.54,106.54,106.54
1950-02-11,107.16,107.16,107.16,107.16
1950-02-13,112.94,112.94,112.94,112.94
1950-02-14,113.4,113.4,113.4,113.4
1950-02-15,110.53,110.53,110.53,110.53
1950-02-16,109.6,109.6,109.6,109.6
1950-02-17,110.25,110.25,110.25,110.25
1950-02-18,111.21,111.21,111.21,111.21
1950-02-20,109.73,109.73,109.73,109.73
1950-02-21,108.38,108.38,108.38,108.38
1950-02-22,106.62,106.62,106.62,106.62
1950-02-23,106.83,106.83,106.83,106.83
1950-02-24,107.01,107.01,107.01,107.01
1950-02-25,107.09,107.09,107.09,107.09
1950-02-27,108.27,108.27,108.27,108.27
1950-02-28,107.44,107.44,107.44,107.44
1950-03-01,108.19,108.19,108.19,108.19
1950-03-02,108.15,108.15,108.15,108.15
1950-03-03,106.65,106.65,106.65,106.65
1950-03-04,105.52,105.52,105.52,105.52
1950-03-06,104.43,104.43,104.43,104.43
1950-03-07,102.83,102.83,102.83,102.83
1950-03-08,102.93,102.93,102.93,102.93
1950-03-09,101.71,101.71,101.71,101.71
1950-03-10,101.23,101.23,101.23,101.23
1950-03-11,102.16,102.16,102.16,102.16
1950-03-13,102.61,102.61,102.61,102.61
1950-03-14,102.21,102.21,102.21,102.21
1950-03-15,101.52,101.52,101.52,101.52
1950-03-16,101.07,101.07,101.07,101.07
1950-03-17,101.12,101.12,101.12,101.12
1950-03-18,101.4,101.4,101.4,101.4
1950-03-20,100.61,100.61,100.61,100.61
1950-03-22,99.84,99.84,99.84,99.84
1950-03-23,99.22,99.22,99.22,99.22
1950-03-24,99.02,99.02,99.02,99.02
1950-03-25,99.97,99.97,99.97,99.97
1950-03-27,99.9,99.9,99.9,99.9
1950-03-28,99.3,99.3,99.3,99.3
1950-03-29,98.51,98.51,98.51,98.51
1950-03-30,97.78,97.78,97.78,97.78
1950-03-31,97.61,97.61,97.61,97.61
